COUNTRY,PAX,CODE
Afghanistan,1722612,AFG
Albania,303137,ALB
Algeria,6442442,DZA
Angola,1516628,AGO
Antigua and Barbuda,580174,ATG
Argentina,18081937,ARG
Aruba,274280,ABW
Australia,75667645,AUS
Austria,12935505,AUT
Azerbaijan,2279546,AZE
Bahamas,1197116,BHS
Bahrain,5877003,BHR
Bangladesh,5984155,BGD
Belarus,2760168,BLR
Belgium,13639487,BEL
Belize,1297533,BLZ
Benin,112392,BEN
Bhutan,275849,BTN
Bolivia,4122113,BOL
Bosnia and Herzegovina,7070,BIH
Botswana,253417,BWA
Brazil,102109977,BRA
Brunei,1234455,BRN
Bulgaria,1022645,BGR
Burkina Faso,151531,BFA
Cambodia,1411059,KHM
Cameroon,265136,CMR
Canada,89380000,CAN
Cape Verde,140429,CPV
Central African Republic,46364,CAF
Chile,19517185,CHL
China,436183969,CHN
Colombia,33704037,COL
Congo (Democratic Republic),932043,COD
Congo (Republic),333899,COG
Costa Rica,1948546,CRI
C̫te d'Ivoire (Ivory Coast),779482,CIV
Croatia,2093577,HRV
Cuba,560754,CUB
Cyprus,401408,CYP
Czech Republic,5727200,CZE
Denmark,582011,DNK
Ecuador,5365261,ECU
Egypt,12340832,EGY
El Salvador,2545105,SLV
Equatorial Guinea,466435,GNQ
Eritrea,102729,ERI
Estonia,31981,EST
Ethiopia,11501244,ETH
Fiji,1670216,FJI
Finland,13364839,FIN
France,70188028,FRA
Gambia,53735,GMB
Georgia,516034,GEO
Germany,109796202,DEU
Ghana,467438,GHA
Greece,15125933,GRC
Guatemala,145795,GTM
Honduras,251149,HND
Hong Kong,47101822,HKG
Hungary,31226848,HUN
Iceland,7819740,ISL
India,164035637,IND
Indonesia,115154100,IDN
Iran,25604871,IRN
Iraq,2075065,IRQ
Ireland,167598633,IRL
Israel,7404373,ISR
Italy,27630435,ITA
Japan,126387527,JPN
Jordan,3383805,JOR
Kazakhstan,7143797,KAZ
Kenya,5935831,KEN
Kiribati,66567,KIR
Korea (North),103560,PRK
Korea (South),88157579,KOR
Kuwait,6464847,KWT
Kyrgyzstan,709198,KGZ
Laos,1251961,LAO
Latvia,4058762,LVA
Lebanon,2981937,LBN
Libya,927153,LBY
Lithuania,26031,LTU
Luxembourg,2099102,LUX
Macau,3157724,MAC
Madagascar,541290,MDG
Malawi,10545,MWI
Malaysia,60481772,MYS
Maldives,1147247,MDV
Malta,2576898,MLT
Marshall Islands,24313,MHL
Mauritania,454435,MRT
Mauritius,1745291,MUS
Mexico,64569640,MEX
Moldova,1135999,MDA
Mongolia,670360,MNG
Montenegro,565522,MNE
Morocco,8132917,MAR
Mozambique,540124,MOZ
Myanmar (Burma),3407788,MMR
Namibia,602893,NAM
Nauru,45457,NRU
Nepal,3296953,NPL
Netherlands,43996044,NLD
New Zealand,17249049,NZL
Nigeria,8169192,NGA
Oman,10438241,OMN
Pakistan,6880637,PAK
Panama,12939350,PAN
Papua New Guinea,964713,PNG
Paraguay,560631,PRY
Peru,17758527,PER
Philippines,43080118,PHL
Poland,9277538,POL
Portugal,17367956,PRT
Qatar,29178923,QAT
Romania,4908235,ROU
Russia,99327311,RUS
Rwanda,1073528,RWA
Samoa,137770,WSM
Saudi Arabia,39141660,SAU
Senegal,21038,SEN
Serbia,2262703,SRB
Seychelles,455201,SYC
Sierra Leone,50193,SLE
Singapore,40401515,SGP
Slovenia,1094762,SVN
Solomon Islands,427806,SLB
Somalia,4486,SOM
South Africa,23921748,ZAF
Spain,80672105,ESP
Sri Lanka,5882376,LKA
Sudan,269958,SDN
Suriname,272347,SUR
Switzerland,28857994,CHE
Syria,17896,SYR
Tajikistan,492320,TJK
Tanzania,1481557,TZA
Thailand,76053042,THA
Togo,566295,TGO
Trinidad and Tobago,2525130,TTO
Tunisia,4274199,TUN
Turkey,115595495,TUR
Turkmenistan,2457474,TKM
Uganda,21537,UGA
Ukraine,7854842,UKR
United Arab Emirates,95533069,ARE
United Kingdom of Great Britain and Northern Ireland,165388610,GBR
United States of America,889022000,USA
Uzbekistan,3056558,UZB
Vanuatu,374603,VUT
Venezuela,2137771,VEN
Vietnam,47049671,VNM
Yemen,336310,YEM
Zambia,8904,ZMB
Zimbabwe,285539,ZWE
